app_name,customer_transactions_volume,customer_transactions_value,b2c_volume,b2c_value,b2b_volume,b2b_value,on_us_volume,on_us_value,total_volume,total_value,month
Airtel Payments Bank Apps,8.53,2047.45,0,0,0,0,4.69,2682.32,13.22,4729.77,01-Jan-22
Allahabad Bank App,0.02,7.36,0,0,0,0,0,0,0.02,7.36,01-Jan-22
Amazon Pay,73.5,6729.66,0,0,0,0,0,0,73.5,6729.66,01-Jan-22
AU Small Finance Bank App,0.23,81.15,0,0,0,0,0,0,0.23,81.15,01-Jan-22
Axis Bank Apps,6.78,1058.77,40.47,34.25,0,0,0,0,47.25,1093.02,01-Jan-22
Bajaj Finserv,0.24,12.88,0,0,0,0,0,0,0.24,12.88,01-Jan-22
Bank of Baroda Apps,0.71,342.85,0,0,0,0,0,0,0.71,342.85,01-Jan-22
Bank of India App,0.05,20.23,0,0,0,0,0,0,0.05,20.23,01-Jan-22
Bank of Maharashtra App,0.05,12.46,0,0,0,0,0,0,0.05,12.46,01-Jan-22
BHIM,25.82,8511.91,0,0,0,0,0,0,25.82,8511.91,01-Jan-22
Canara Bank App,0.26,98.95,0,0,0,0,0,0,0.26,98.95,01-Jan-22
Central Bank of India App,0.13,47.33,0,0,0,0,0,0,0.13,47.33,01-Jan-22
Citi Bank App,0.09,77.8,0,0,0,0,0,0,0.09,77.8,01-Jan-22
City Union Bank App,0.02,4.92,0,0,0,0,0,0,0.02,4.92,01-Jan-22
Cointab,1.21,179.22,0,0,0,0,0,0,1.21,179.22,01-Jan-22
Cred,10.68,14189.86,0,0,0,0,0,0,10.68,14189.86,01-Jan-22
DBS Digibank App,0.51,186.79,0,0,0,0,0,0,0.51,186.79,01-Jan-22
Dena Bank App,0.02,26.5,0,0,0,0,0,0,0.02,26.5,01-Jan-22
Deutsche Bank App,0.92,61.95,0,0,0,0.13,0,0,0.92,62.08,01-Jan-22
Dhanlaxmi Bank App,0.01,2.95,0,0,0,0,0,0,0.01,2.95,01-Jan-22
Federal Bank App,0.54,109.25,0,0,0,0,0,0,0.54,109.25,01-Jan-22
Fino Payments bank App,0.03,2.79,0,0,0,0,0,0,0.03,2.79,01-Jan-22
Finshell Pay,0.07,3.69,0,0,0,0,0,0,0.07,3.69,01-Jan-22
Google Pay,1584.2,298267.07,0,0,0,0,0,0,1584.2,298267.07,01-Jan-22
HDFC Bank Apps,4.94,1366.89,0,0,0,0,0,0,4.94,1366.89,01-Jan-22
HSBC Bank App,0.08,54.47,0,0.09,0,0,0,0,0.08,54.57,01-Jan-22
ICICI Bank Apps,29.87,8491.18,3.57,215.87,0,0,0,0,33.43,8707.05,01-Jan-22
IDBI Bank App,0.02,12.54,0,0,0,0,0,0,0.02,12.54,01-Jan-22
IDFC Bank App,1.22,316.37,0,0,0,0,0,0,1.22,316.37,01-Jan-22
India Post Payments Bank App,2.65,309.42,0,0,0,0,0,0,2.65,309.42,01-Jan-22
Indian Bank App,0.13,47.42,0,0,0,0,0,0,0.13,47.42,01-Jan-22
IndusInd Bank App,0.74,1218.79,0,0,0,0,0,0,0.74,1218.79,01-Jan-22
Jammu and Kashmir Bank App,0.01,2.47,0,0,0,0,0,0,0.01,2.47,01-Jan-22
Janta Sahakari Bank App,0.01,4.46,0,0,0,0,0,0,0.01,4.46,01-Jan-22
Jio Payments Bank App,2.05,114.39,0,0,0,0,0,0,2.05,114.39,01-Jan-22
Jupiter Money,1.02,156.15,0,0,0,0,0,0,1.02,156.15,01-Jan-22
Karnataka Bank App,0.25,31.19,0,0,0,0,0,0,0.25,31.19,01-Jan-22
Karur Vysya Bank App,0.04,17.37,0,0,0,0,0,0,0.04,17.37,01-Jan-22
Kotak Mahindra Bank Apps,6.88,1333.06,0,0,0,0,0,0,6.88,1333.06,01-Jan-22
MakeMy Trip,0.06,19.63,0,0,0,0,0,0,0.06,19.63,01-Jan-22
MI Pay,0.27,40.51,0,0,0,0,0,0,0.27,40.51,01-Jan-22
Mobikwik,3.87,886.55,0,0,0,0,0,0,3.87,886.55,01-Jan-22
NSDL Payments Bank App,0.02,1.45,0,0,0,0,0,0,0.02,1.45,01-Jan-22
Paytm Payments Bank App,615.9,70892.01,8,13.36,0,0,86.38,14220.6,710.28,85125.97,01-Jan-22
PhonePe,2140.28,405173.78,0,0,0,0,0,0,2140.28,405173.78,01-Jan-22
Punjab National Bank App,0.09,44.86,0,0,0,0,0,0,0.09,44.86,01-Jan-22
Punjab Sindh Bank App,0.01,2.87,0,0,0,0,0,0,0.01,2.87,01-Jan-22
RBL Bank App,0.42,101.45,0,0,0.01,0,0,0,0.43,101.45,01-Jan-22
Samsung Pay,3.17,431.07,0,0,0,0,0,0,3.17,431.07,01-Jan-22
South Indian Bank App,0.13,41.4,0,0,0,0,0,0,0.13,41.4,01-Jan-22
Standard Chartered Bank App,0.11,60.49,0,0,0,0,0,0,0.11,60.49,01-Jan-22
State Bank of India Apps,3.62,1967.04,0,0,0,0.01,0,0,3.62,1967.05,01-Jan-22
UCO Bank App,0.16,37.26,0,0,0,0,0,0,0.16,37.26,01-Jan-22
Ultracash,2.14,177.63,0,0,0,0,0,0,2.14,177.63,01-Jan-22
Union Bank Apps,0.39,182.27,0,0,0,0,0,0,0.39,182.27,01-Jan-22
WhatsApp,2.34,205.83,0,0,0,0,0,0,2.34,205.83,01-Jan-22
Yes Bank Apps,27.24,5816.96,0.35,0.2,0,0,0,0,27.59,5817.16,01-Jan-22
YuvaPay,0.05,77.12,0,0,0,0,0,0,0.05,77.12,01-Jan-22
Others,0.02,9.08,0,0,0,0,0,0,0.02,9.08,01-Jan-22
Airtel Payments Bank Apps,5.8,1199.46,0,0,0,,1.77,1010.71,7.58,2210.17,01-Feb-22
Allahabad Bank App,0.02,6.28,0,0,0,0,0,0,0.02,6.28,01-Feb-22
Amazon Pay,63.49,6044.47,0,0,0,0,0,0,63.49,6044.47,01-Feb-22
AU Small Finance Bank App,0.25,89.36,0,0,0,0,0,0,0.25,89.36,01-Feb-22
Axis Bank Apps,6.9,1366.34,47.88,38.91,0,0,0,0,54.78,1405.26,01-Feb-22
Bajaj Finserv,0.33,19.32,0,0,0,0,0,0,0.33,19.32,01-Feb-22
Bank of Baroda Apps,0.67,330.69,0,0,0,0,0,0,0.67,330.69,01-Feb-22
Bank of India App,0.05,21.28,0,0,0,0,0,0,0.05,21.28,01-Feb-22
Bank of Maharashtra App,0.05,12.49,0,0,0,0,0,0,0.05,12.49,01-Feb-22
BHIM,23.25,7891.86,0,0,0,0,0,0,23.25,7891.86,01-Feb-22
Canara Bank App,0.26,95.78,0,0,0,0,0,0,0.26,95.78,01-Feb-22
Central Bank of India App,0.12,45.26,0,0,0,0,0,0,0.12,45.26,01-Feb-22
Citi Bank App,0.08,69.22,0,0,0,0,0,0,0.08,69.22,01-Feb-22
City Union Bank App,0.02,5.49,0,0,0,0,0,0,0.02,5.49,01-Feb-22
Cointab,1.73,280.57,0,0,0,0,0,0,1.73,280.57,01-Feb-22
Cred,10.08,13364.09,0,0,0,0,0,0,10.08,13364.09,01-Feb-22
DBS Digibank App,0.46,173.63,0,0,0,0,0,0,0.46,173.63,01-Feb-22
Dena Bank App,0.02,23.93,0,0,0,0,0,0,0.02,23.93,01-Feb-22
Deutsche Bank App,0.87,70.43,0,0,0,0,0,0,0.87,70.43,01-Feb-22
Dhanlaxmi Bank App,0.01,2.83,0,0,0,0,0,0,0.01,2.83,01-Feb-22
Federal Bank App,0.55,108.21,0,0,0,0,0,0,0.55,108.21,01-Feb-22
Fino Payments bank App,0.03,3.25,0,0,0,0,0,0,0.03,3.25,01-Feb-22
Finshell Pay,0.06,3.8,0,0,0,0,0,0,0.06,3.8,01-Feb-22
Google Pay,1524.09,291273.46,0,0,0,0,0,0,1524.09,291273.46,01-Feb-22
HDFC Bank Apps,4.59,1370.03,0,0,0,0,0,0,4.59,1370.03,01-Feb-22
HSBC Bank App,0.08,52.94,0,0.04,0,0,0,0,0.08,52.97,01-Feb-22
ICICI Bank Apps,27.39,8537.11,3.27,190.34,0,0,0,0,30.66,8727.44,01-Feb-22
IDBI Bank App,0.02,14.6,0,0,0,0,0,0,0.02,14.6,01-Feb-22
IDFC Bank App,1.21,321.93,0,0,0,0,0,0,1.21,321.93,01-Feb-22
India Post Payments Bank App,2.21,268.9,0,0,0,0,0,0,2.21,268.9,01-Feb-22
Indian Bank App,0.11,42.07,0,0,0,0,0,0,0.11,42.07,01-Feb-22
IndusInd Bank App,0.77,1358.24,0,0,0,0,0,0,0.77,1358.24,01-Feb-22
Jammu and Kashmir Bank App,0.01,3.43,0,0,0,0,0,0,0.01,3.43,01-Feb-22
Janta Sahakari Bank App,0.01,4.33,0,0,0,0,0,0,0.01,4.33,01-Feb-22
Jio Payments Bank App,1.97,111.85,0,0,0,0,0,0,1.97,111.85,01-Feb-22
Jupiter Money,1.13,140.79,0,0,0,0,0,0,1.13,140.79,01-Feb-22
Karnataka Bank App,0.25,31.35,0,0,0,0,0,0,0.25,31.35,01-Feb-22
Karur Vysya Bank App,0.04,17.17,0,0,0,0,0,0,0.04,17.17,01-Feb-22
Kotak Mahindra Bank Apps,6.91,1383.3,0,0,0,0,0,0,6.91,1383.3,01-Feb-22
MakeMy Trip,0.08,33.03,0,0,0,0,0,0,0.08,33.03,01-Feb-22
MI Pay,0.25,38.46,0,0,0,0,0,0,0.25,38.46,01-Feb-22
Mobikwik,3.78,755.89,0,0,0,0,0,0,3.78,755.89,01-Feb-22
NSDL Payments Bank App,0.02,1.77,0,0,0,0,0,0,0.02,1.77,01-Feb-22
Paytm Payments Bank App,613.77,72204.32,8.48,18.96,0,0,84.52,14075.94,706.77,86299.22,01-Feb-22
PhonePe,2120.2,407640.11,0,0,0,0,0,0,2120.2,407640.11,01-Feb-22
Punjab National Bank App,0.08,43.49,0,0,0,0,0,0,0.08,43.49,01-Feb-22
Punjab Sindh Bank Apps,0.01,2.66,0,0,0,0,0,0,0.01,2.66,01-Feb-22
RBL Bank App,0.51,107.25,0,0,0,0,0,0,0.51,107.25,01-Feb-22
Samsung Pay,3.14,421.97,0,0,0,0,0,0,3.14,421.97,01-Feb-22
South Indian Bank App,0.12,38.69,0,0,0,0,0,0,0.12,38.69,01-Feb-22
Standard Chartered Bank App,0.12,64.7,0,0,0,0,0,0,0.12,64.7,01-Feb-22
State Bank of India Apps,3.38,1863.42,0,0,0,0,0,0,3.38,1863.42,01-Feb-22
UCO Bank App,0.16,35.05,0,0,0,0,0,0,0.16,35.05,01-Feb-22
Ultracash,1.51,158.7,0,0,0,0,0,0,1.51,158.7,01-Feb-22
Union Bank Apps,0.35,166.72,0,0,0,0,0,0,0.35,166.72,01-Feb-22
Utkarsh Small Finance Bank,0.01,2.42,0,0,0,0,0,0,0.01,2.42,01-Feb-22
WhatsApp,2.24,207.09,0,0,0,0,0,0,2.24,207.09,01-Feb-22
Yes Bank Apps,31.99,6551.55,0.19,0.06,0,0,0,0,32.17,6551.61,01-Feb-22
YuvaPay,0.05,89.7,0,0,0,0,0,0,0.05,89.7,01-Feb-22
Others,0.02,8.15,0,0,0,0,0,0,0.02,8.15,01-Feb-22
Airtel Payments Bank Apps,8.33,1934.41,0,0,0,0,4.82,2557.85,13.16,4492.25,01-Mar-22
Allahabad Bank Apps,0.02,6.15,0,0,0,0,0,0,0.02,6.15,01-Mar-22
Amazon Pay,76.34,6894.78,0,0,0,0,0,0,76.34,6894.78,01-Mar-22
AU Small Finance Bank Apps,0.29,104.48,0,0,0,0,0,0,0.29,104.48,01-Mar-22
Axis Bank Apps,7.09,1045.13,54.21,39.81,0,0,0,0,61.29,1084.94,01-Mar-22
Bajaj Finserv,0.35,24.08,0,0,0,0,0,0,0.35,24.08,01-Mar-22
Bank of Baroda Apps,0.69,328.61,0,0,0,0,0,0,0.69,328.61,01-Mar-22
Bank of India Apps,0.08,26.22,0,0,0,0,0,0,0.08,26.22,01-Mar-22
Bank of Maharashtra Apps,0.05,15,0,0,0,0,0,0,0.05,15,01-Mar-22
BHIM,24.88,8050.24,0,0,0,0,0,0,24.88,8050.24,01-Mar-22
Canara Bank Apps,0.31,109.68,0,0,0,0,0,0,0.31,109.68,01-Mar-22
Central Bank of India Apps,0.14,50.67,0,0,0,0,0,0,0.14,50.67,01-Mar-22
Citi Bank Apps,0.11,68.41,0,0,0,0,0,0,0.11,68.41,01-Mar-22
City Union Bank Apps,0.03,7.3,0,0,0,0,0,0,0.03,7.3,01-Mar-22
Cointab,0.08,33.22,0,0,0,0,0,0,0.08,33.22,01-Mar-22
Cred,12.11,16136.11,0,0,0,0,0,0,12.11,16136.11,01-Mar-22
DBS Digibank Apps,0.49,185.52,0,0,0,0,0,0,0.49,185.52,01-Mar-22
Dena Bank Apps,0.02,29.32,0,0,0,0,0,0,0.02,29.32,01-Mar-22
Deutsche Bank Apps,1.02,91.66,0,0,0,1.36,0,0,1.02,93.02,01-Mar-22
Dhanlaxmi Bank Apps,0.01,3.29,0,0,0,0,0,0,0.01,3.29,01-Mar-22
Fave,0.37,13,0,0,0,0,0,0,0.37,13,01-Mar-22
Federal Bank Apps,2.45,360.96,0,0,0,0,0,0,2.45,360.96,01-Mar-22
Fino Payments bank Apps,0.04,3.47,0,0,0,0,0,0,0.04,3.47,01-Mar-22
Finserv Markets,0.03,1.49,0,0,0,0,0,0,0.03,1.49,01-Mar-22
Finshell Pay,0.08,4,0,0,0,0,0,0,0.08,4,01-Mar-22
GoIbibo,0.02,5.91,0,0,0,0,0,0,0.02,5.91,01-Mar-22
Google Pay,1838.12,338873.25,0,0,0,0,0,0,1838.12,338873.25,01-Mar-22
Groww,0.83,472.71,0,0,0,0,0,0,0.83,472.71,01-Mar-22
HDFC Bank Apps,5.45,1624.54,0,0,0,0,0,0,5.45,1624.54,01-Mar-22
HSBC Bank Apps,0.1,61.85,0,0.16,0,0,0,0,0.1,62,01-Mar-22
ICICI Bank Apps,31.49,10304.08,3.65,234.61,0,0,0,0,35.13,10538.69,01-Mar-22
IDBI Bank Apps,0.03,16.25,0,0,0,0,0,0,0.03,16.25,01-Mar-22
IDFC Bank Apps,2.7,534.56,0,0,0,0,0,0,2.7,534.56,01-Mar-22
India Post Payments Bank Apps,2.95,321.14,0,0,0,0,0,0,2.95,321.14,01-Mar-22
Indian Bank Apps,0.11,42.26,0,0,0,0,0,0,0.11,42.26,01-Mar-22
Indian Overseas Bank Apps,0.01,1.62,0,0,0,0,0,0,0.01,1.62,01-Mar-22
IndusInd Bank Apps,1.03,2252.3,0,0,0,0,0,0,1.03,2252.3,01-Mar-22
Jammu and Kashmir Bank Apps,0.01,2.15,0,0,0,0,0,0,0.01,2.15,01-Mar-22
Janata Sahakari Bank Apps,0.01,4.51,0,0,0,0,0,0,0.01,4.51,01-Mar-22
Jio Payments Bank Apps,2.27,129.5,0,0,0,0,0,0,2.27,129.5,01-Mar-22
Jupiter,1.32,164.8,0,0,0,0,0,0,1.32,164.8,01-Mar-22
Karnataka Bank Apps,0.3,37.96,0,0,0,0,0,0,0.3,37.96,01-Mar-22
Karur Vysya Bank Apps,0.04,18.29,0,0,0,0,0,0,0.04,18.29,01-Mar-22
Kotak Mahindra Bank Apps,7.92,1587.51,0,0,0,0,0,0,7.92,1587.51,01-Mar-22
MakeMyTrip,0.1,47.1,0,0,0,0,0,0,0.1,47.1,01-Mar-22
MI Pay,0.24,36.02,0,0,0,0,0,0,0.24,36.02,01-Mar-22
Mobikwik,3.6,739.25,0,0,0,0,0,0,3.6,739.25,01-Mar-22
NSDL Payments Bank Apps,0.02,2.28,0,0,0,0,0,0,0.02,2.28,01-Mar-22
Paytm Payments Bank App,729.63,83840.44,9.77,17.68,0,0,97.74,11792.24,837.14,95650.36,01-Mar-22
PhonePe,2527.15,471401.26,0,0,0,0,0,0,2527.15,471401.26,01-Mar-22
Punjab National Bank Apps,0.09,46.64,0,0,0,0,0,0,0.09,46.64,01-Mar-22
Punjab Sind Bank Apps,0.01,3.8,0,0,0,0,0,0,0.01,3.8,01-Mar-22
RBL Bank Apps,0.46,126.74,0,0,0,0,0,0,0.46,126.75,01-Mar-22
Samsung Pay,3.73,473.5,0,0,0,0,0,0,3.73,473.5,01-Mar-22
South Indian Bank Apps,0.13,44.63,0,0,0,0,0,0,0.13,44.63,01-Mar-22
Standard Chartered Bank Apps,0.13,69.84,0,0,0,0,0,0,0.13,69.84,01-Mar-22
State Bank of India Apps,4.01,2130.56,0,0,0,0,0,0,4.01,2130.56,01-Mar-22
SuperPay,0.1,0.64,0,0,0,0,0,0,0.1,0.64,01-Mar-22
UCO Bank Apps,0.19,40.88,0,0,0,0,0,0,0.19,40.88,01-Mar-22
Ultracash,0.03,1.12,0,0,0,0,0,0,0.03,1.12,01-Mar-22
Union Bank Apps,0.41,197.01,0,0,0,0,0,0,0.41,197.01,01-Mar-22
Utkarsh Small Finance Bank Apps,0.01,3.9,0,0,0,0,0,0,0.01,3.9,01-Mar-22
WhatsApp,2.54,239.78,0,0,0,0,0,0,2.54,239.78,01-Mar-22
Yes Bank Apps,35.25,8746.74,0,0,0,0,0,0,35.25,8746.74,01-Mar-22
YuvaPay,0.06,105.39,0,0,0,0,0,0,0.06,105.39,01-Mar-22
Others,0.02,8.11,0,0,0,0,0,0,0.02,8.11,01-Mar-22
Airtel Payments Bank Apps,5.29,454.64,0,0,0,0,0.01,6.26,5.3,460.9,01-Apr-22
Amazon Pay,73.21,6699.57,0,0,0,0,0,0,73.21,6699.57,01-Apr-22
AU Small Finance Bank Apps,0.32,109.89,0,0,0,0,0,0,0.32,109.89,01-Apr-22
Axis Bank Apps,7.19,1213.44,56.84,43.71,0,0,0,0,64.03,1257.15,01-Apr-22
Bajaj Finserv,0.52,38.61,0,0,0,0,0,0,0.52,38.61,01-Apr-22
Bank of Baroda Apps,0.77,344.65,0,0,0,0,0,0,0.77,344.65,01-Apr-22
Bank of India Apps,0.1,32.62,0,0,0,0,0,0,0.1,32.62,01-Apr-22
Bank of Maharashtra Apps,0.05,14.56,0,0,0,0,0,0,0.05,14.56,01-Apr-22
BHIM,25.69,8354.34,0,0,0,0,0,0,25.69,8354.34,01-Apr-22
Canara Bank Apps,0.31,110.31,0,0,0,0,0,0,0.31,110.31,01-Apr-22
Central Bank of India Apps,0.13,51.04,0,0,0,0,0,0,0.13,51.04,01-Apr-22
Citi Bank Apps,0.08,66.03,0,0,0,0,0,0,0.08,66.03,01-Apr-22
City Union Bank Apps,0.03,8.41,0,0,0,0,0,0,0.03,8.41,01-Apr-22
Cointab,0.07,28.5,0,0,0,0,0,0,0.07,28.5,01-Apr-22
Cred,13.05,16372.92,0,0,0,0,0,0,13.05,16372.92,01-Apr-22
DBS Digibank Apps,0.47,175.45,0,0,0,0,0,0,0.47,175.45,01-Apr-22
Deutsche Bank Apps,1.51,128.13,0,0,0,0.3,0,0,1.51,128.43,01-Apr-22
Dhanlaxmi Bank Apps,0.01,3.02,0,0,0,0,0,0,0.01,3.02,01-Apr-22
Fave,0.18,7.73,0,0,0,0,0,0,0.18,7.73,01-Apr-22
Federal Bank Apps,2.7,375.64,0,0,0,0,0,0,2.7,375.64,01-Apr-22
Fino Payments bank Apps,0.04,3.26,0,0,0,0,0,0,0.04,3.26,01-Apr-22
Finserv Markets,0.01,1.06,0,0,0,0,0,0,0.01,1.06,01-Apr-22
Finshell Pay,0.08,4.45,0,0,0,0,0,0,0.08,4.45,01-Apr-22
GoIbibo,0.01,3.31,0,0,0,0,0,0,0.01,3.31,01-Apr-22
Google Pay,1914.77,344791.35,0,0,0,0,0,0,1914.77,344791.35,01-Apr-22
Groww,0.61,376.18,0,0,0,0,0,0,0.61,376.18,01-Apr-22
HDFC Bank Apps,5.9,1759.12,0,0,0,0,0,0,5.9,1759.12,01-Apr-22
HSBC Bank Apps,0.11,59.7,0,0.02,0,0,0,0,0.11,59.72,01-Apr-22
ICICI Bank Apps,32.82,9086.72,4.83,269.45,0,0,0,0,37.65,9356.17,01-Apr-22
IDBI Bank Apps,0.03,16.78,0,0,0,0,0,0,0.03,16.78,01-Apr-22
IDFC Bank Apps,2.49,532.69,0,0,0,0,0,0,2.49,532.69,01-Apr-22
India Post Payments Bank Apps,2.8,328.53,0,0,0,0,0,0,2.8,328.53,01-Apr-22
Indian Bank Apps,0.14,49.9,0,0,0,0,0,0,0.14,49.9,01-Apr-22
Indian Overseas Bank Apps,0.01,1.52,0,0,0,0,0,0,0.01,1.52,01-Apr-22
IndusInd Bank Apps,1.02,2596.71,0,0,0,0,0,0,1.02,2596.71,01-Apr-22
Janata Sahakari Bank Apps,0.01,4.28,0,0,0,0,0,0,0.01,4.28,01-Apr-22
Jio Payments Bank Apps,2.1,126.25,0,0,0,0,0,0,2.1,126.25,01-Apr-22
Jupiter,1.47,186.13,0,0,0,0,0,0,1.47,186.13,01-Apr-22
Jupiter Edge (LivQuick PPI App),0.01,0.43,0,0,0,0,0,0,0.01,0.43,01-Apr-22
Karnataka Bank Apps,0.27,35.58,0,0,0,0,0,0,0.27,35.58,01-Apr-22
Karur Vysya Bank Apps,0.04,18.54,0,0,0,0,0,0,0.04,18.54,01-Apr-22
Kotak Mahindra Bank Apps,7.96,1684.35,0,0,0,0,0,0,7.96,1684.35,01-Apr-22
MakeMyTrip,0.09,41.18,0,0,0,0,0,0,0.09,41.18,01-Apr-22
MI Pay,0.19,28.58,0,0,0,0,0,0,0.19,28.58,01-Apr-22
Mobikwik,2.37,421.47,0,0,0,0,0,0,2.37,421.47,01-Apr-22
NSDL Payments Bank Apps,0.02,2.32,0,0,0,0,0,0,0.02,2.32,01-Apr-22
Paytm Payments Bank App,740.76,85918.88,11.15,15.98,0,0,99.7,15714.2,851.61,101649.06,01-Apr-22
PhonePe,2616.26,486557.03,0,0,0,0,0,0,2616.26,486557.03,01-Apr-22
Punjab National Bank Apps,0.09,46.27,0,0,0,0,0,0,0.09,46.27,01-Apr-22
Punjab Sind Bank Apps,0.01,5.38,0,0,0,0,0,0,0.01,5.38,01-Apr-22
RBL Bank Apps,0.3,113.65,0,0,0,0,0,0,0.3,113.65,01-Apr-22
Samsung Pay,3.81,470.11,0,0,0,0,0,0,3.81,470.11,01-Apr-22
South Indian Bank Apps,0.13,45.03,0,0,0,0,0,0,0.13,45.03,01-Apr-22
Standard Chartered Bank Apps,0.12,68.15,0,0,0,0,0,0,0.12,68.15,01-Apr-22
State Bank of India Apps,4.03,2118,0,0,0,0,0,0,4.03,2118,01-Apr-22
SuperPay,0.02,0.4,0,0,0,0,0,0,0.02,0.4,01-Apr-22
Tamilnad Mercantile Bank Apps,0.01,0.26,0,0,0,0,0,0,0.01,0.26,01-Apr-22
TataNeu,0.35,32.82,0,0,0,0,0,0,0.35,32.82,01-Apr-22
UCO Bank Apps,0.21,41.48,0,0,0,0,0,0,0.21,41.48,01-Apr-22
Ultracash,0.03,2.22,0,0,0,0,0,0,0.03,2.22,01-Apr-22
Union Bank Apps,0.42,198.34,0,0,0,0,0,0,0.42,198.34,01-Apr-22
Utkarsh Small Finance Bank Apps,0.01,3.88,0,0,0,0,0,0,0.01,3.88,01-Apr-22
WhatsApp,2.5,242.4,0,0,0,0,0,0,2.5,242.4,01-Apr-22
Yes Bank Apps,34.07,10246.99,0,0,0,0,0,0,34.07,10246.99,01-Apr-22
YuvaPay,0.06,103.34,0,0,0,0,0,0,0.06,103.34,01-Apr-22
Others,0.02,8.26,0,0,0,0,0,0,0.02,8.26,01-Apr-22
Airtel Payments Bank Apps,6.1,486.55,0,0,0,0,0,0.07,6.11,486.62,01-May-22
Allahabad Bank Apps,0.02,6.25,0,0,0,0,0,0,0.02,6.25,01-May-22
Amazon Pay,74.83,6954.18,0,0,0,0,0,0,74.83,6954.18,01-May-22
AU Small Finance Bank Apps,0.35,107.22,0,0,0,0,0,0,0.35,107.22,01-May-22
Axis Bank Apps,7.46,1372.31,51.14,48.08,0.06,4.77,0,0,58.66,1425.16,01-May-22
Bajaj Finserv,0.79,58.53,0,0,0,0,0,0,0.79,58.53,01-May-22
Bank of Baroda Apps,0.88,406.79,0,0,0,0,0,0,0.88,406.79,01-May-22
Bank of India Apps,0.12,40.04,0,0,0,0,0,0,0.12,40.04,01-May-22
